year,state,degree_level,fod_label,n_unweighted,pop_w,employed_w,unemployed_w,labor_force_w,employment_rate,lfp_rate,unemployment_rate,field_category,state_fips2,bls_unemployment_rate
2023,AK,Associate,NA,67,2005,1496,10,1506,0.7461346633416459,0.7511221945137158,0.006640106241699867,Unknown/NA,02,0.0425
2023,AK,Bachelor,Agriculture Production And Management,1,86,86,0,86,1,1,0,Business/Econ,02,0.0425
2023,AK,Bachelor,Anthropology And Archeology,2,34,34,0,34,1,1,0,SocialSciences,02,0.0425
2023,AK,Bachelor,Architecture,1,4,4,0,4,1,1,0,Other,02,0.0425
2023,AK,Bachelor,Area Ethnic And Civilization Studies,2,33,11,0,11,0.3333333333333333,0.3333333333333333,0,Other,02,0.0425
2023,AK,Bachelor,Art History And Criticism,1,8,8,0,8,1,1,0,Humanities,02,0.0425
2023,AK,Bachelor,Atmospheric Sciences And Meteorology,2,23,23,0,23,1,1,0,Other,02,0.0425
2023,AK,Bachelor,Biology,15,255,144,5,149,0.5647058823529412,0.5843137254901961,0.03355704697986577,NaturalSciences,02,0.0425
2023,AK,Bachelor,Business Management And Administration,9,220,177,0,177,0.8045454545454546,0.8045454545454546,0,Business/Econ,02,0.0425
2023,AK,Bachelor,Chemical Engineering,1,43,43,0,43,1,1,0,Engineering,02,0.0425
2023,AK,Bachelor,Chemistry,3,113,86,0,86,0.7610619469026548,0.7610619469026548,0,NaturalSciences,02,0.0425
2023,AK,Bachelor,Civil Engineering,1,48,48,0,48,1,1,0,Engineering,02,0.0425
2023,AK,Bachelor,Commercial Art And Graphic Design,1,53,53,0,53,1,1,0,Arts/Design,02,0.0425
2023,AK,Bachelor,Communications,3,95,95,0,95,1,1,0,Other,02,0.0425
2023,AK,Bachelor,Computer And Information Systems,1,129,129,0,129,1,1,0,CS/Math/Stats,02,0.0425
2023,AK,Bachelor,Computer Science,1,15,15,0,15,1,1,0,CS/Math/Stats,02,0.0425
2023,AK,Bachelor,Criminal Justice And Fire Protection,5,422,333,0,333,0.7890995260663507,0.7890995260663507,0,Other,02,0.0425
2023,AK,Bachelor,Drama And Theater Arts,4,79,79,0,79,1,1,0,Arts/Design,02,0.0425
2023,AK,Bachelor,Early Childhood Education,2,269,58,0,58,0.21561338289962825,0.21561338289962825,0,Education,02,0.0425
2023,AK,Bachelor,Ecology,1,4,4,0,4,1,1,0,Other,02,0.0425
2023,AK,Bachelor,Elementary Education,7,139,139,0,139,1,1,0,Education,02,0.0425
2023,AK,Bachelor,Engineering Technologies,1,14,14,0,14,1,1,0,Engineering,02,0.0425
2023,AK,Bachelor,English Language And Literature,6,329,147,0,147,0.44680851063829785,0.44680851063829785,0,Humanities,02,0.0425
2023,AK,Bachelor,Environmental Science,5,114,40,30,70,0.3508771929824561,0.6140350877192983,0.42857142857142855,Other,02,0.0425
2023,AK,Bachelor,Film Video And Photographic Arts,1,57,57,0,57,1,1,0,Arts/Design,02,0.0425
2023,AK,Bachelor,Fine Arts,5,144,144,0,144,1,1,0,Arts/Design,02,0.0425
2023,AK,Bachelor,General Business,7,213,100,0,100,0.4694835680751174,0.4694835680751174,0,Business/Econ,02,0.0425
2023,AK,Bachelor,General Education,1,6,6,0,6,1,1,0,Education,02,0.0425
2023,AK,Bachelor,General Engineering,1,73,0,0,0,0,0,NA,Engineering,02,0.0425
2023,AK,Bachelor,General Social Sciences,1,71,71,0,71,1,1,0,SocialSciences,02,0.0425
2023,AK,Bachelor,Geography,1,35,0,0,0,0,0,NA,Other,02,0.0425
